session,constellation,n_sats,n_meas,cn0_median,cn0_p10,cn0_p90,el_median,used_in_fix_pct,has_eph_pct
hilltop,beidou,18,10730,28.5,0.0,37.0,15.0,65.57315936626281,0.0
hilltop,galileo,12,7689,31.2,19.4,36.7,24.0,74.47002210950708,0.0
hilltop,glonass,12,6974,29.5,0.0,36.0,19.0,81.02953828505879,0.0
hilltop,gps,11,7533,33.2,26.5,38.8,22.0,89.87123324040887,0.0
hilltop,sbas,19,2094,0.0,0.0,35.0,18.0,0.0,0.0
urban_raw_on,beidou,14,8267,0.0,0.0,28.1,32.0,42.010402806338455,0.0
urban_raw_on,galileo,12,7188,0.0,0.0,17.7,15.5,20.60378408458542,0.0
urban_raw_on,glonass,9,5391,0.0,0.0,23.8,15.0,42.55240215173437,0.0
urban_raw_on,gps,11,6589,0.0,0.0,22.9,30.0,40.93185612384277,0.0
urban_raw_on,sbas,19,599,0.0,0.0,0.0,13.0,0.0,0.0
